objname,al2000,de2000,type,incl,logd25,brief,ut,bt,vt,kt,v,mabs
NGC7290,22.474015,17.1473202,Sbc,63.94,1.173,21.701,13.782,13.822,13.272,10.768,2899.4,-20.126
NGC7624,23.3396153,27.3155,SABc,48.64,1.114,21.932,13.874,13.814,13.114,9.905,4272.8,-21.119
PGC032429,10.8306219,1.2046743,Sb,64.46,0.97,23.516,17.047,15.357,14.71,11.342,11656.7,-21.556
PGC035125,11.4259323,22.818996,Sb,26.78,0.912,22.153,15.638,14.612,14.052,11.299,6461.6,-20.48
PGC035911,11.6084726,26.860821,SBbc,26.23,0.817,22.821,15.677,14.868,14.428,12.069,9990.3,-21.234
PGC036779,11.7942613,19.9394059,SBb,73.06,0.97,22.737,16.465,15.512,14.602,11.398,6156.5,-20.225
UGC08076,12.9638693,29.6542102,Sc,50.95,0.943,22.752,15.817,15.007,14.497,12.605,2525.1,-18.373
UGC08161,13.0580819,26.5503767,SBab,77.88,1.068,23.024,16.261,15.182,14.362,11.172,6651.6,-20.477
PGC047241,13.4705542,28.6692816,Sm,72.18,0.83,21.857,17.191,15.892,14.892,12.254,11189.9,-20.861
UGC08548,13.5708028,31.4248598,Scd,41.94,0.79,22.485,16.837,15.533,15.133,13.967,4998.8,-19.135
PGC048096,13.6184614,0.36801,SBb,59.24,0.821,23.998,17.222,15.925,15.51,12.367,14204.9,-21.272
PGC048433,13.6866744,1.7798413,E-S0,90,0.802,19.163,16.394,15.578,15.098,12.836,8551.8,-20.186
UGC08911,13.9942682,28.0612223,SABc,48.8,0.837,24.23,16.836,15.731,15.13,12.592,10938.5,-20.772
PGC054762,15.3481203,8.3969479,S0-a,65.45,0.88,21.205,16.348,15.323,15.6,11.212,9289.3,-20.683
PGC056655,16.0119874,16.7162213,SABa,54.4,0.822,22,16.675,15.79,15.08,12.505,10653.7,-20.714
PGC056987,16.079291,17.4484309,Sc,50.57,0.815,22.002,16.73,15.557,14.987,12.369,10635,-21.028
UGC12812,23.8551837,20.5778346,Sc,77.7,0.974,20.307,14.851,14.591,13.791,13.535,5346.2,-21.196
NGC0693,1.8419075,6.1451551,S0-a,66.69,1.324,21.532,13.395,13.245,12.445,9.241,1561.3,-18.847
NGC2874,9.4298128,11.4245311,Sbc,74.76,1.309,21.909,15.207,13.332,12.482,8.878,3760.3,-21.291
NGC3074,9.9947832,35.3927895,SABc,31.27,1.292,23.23,15.687,13.466,12.826,10.41,5137.2,-21.164
IC0842,13.0109951,29.0194327,SBbc,62.7,1.057,22.75,16.074,14.724,13.934,10.809,7273.1,-21.025
NGC5032,13.2241552,27.8023718,Sb,59.52,1.29,22.949,15.307,13.701,12.821,9.737,6397.4,-21.823
NGC5806,15.0001103,1.8912683,Sb,60.4,1.481,21.703,14.219,12.347,11.647,8.462,1348.7,-19.859
UGC04211,8.0795566,10.7767157,Sd,80.09,1.043,22.062,16.216,14.802,14.5,10.541,10422,-21.885
NGC2954,9.6733552,14.9226262,E,77.24,1.156,21.02,14.851,13.303,12.393,9.468,3803.8,-20.621
NGC6389,17.5443846,16.401695,Sbc,41.08,1.08,22.759,12.955,12.845,12.095,9.301,3118.4,-21.217
IC1182,16.0935604,17.8020252,S0-a,40.64,0.925,22.409,16.387,15.28,14.651,11.011,10256.1,-21.018
NGC0473,1.3319639,16.5447034,S0-a,62.07,1.247,21.122,13.474,13.314,12.504,9.586,2129.8,-19.628
NGC0803,2.0624167,16.0309444,Sc,73.11,1.427,22.235,13.001,13.031,12.409,9.852,2099.1,-19.786
NGC0918,2.43079,18.4962296,Sc,57.57,1.49,23.405,13.269,13.089,13.215,9.051,1508.4,-20.017
NGC0797,2.0577528,38.117,SABa,30.31,1.082,22.277,13.968,13.578,12.638,9.661,5663.3,-21.408
NGC7674,23.4657507,8.778993,SBbc,26.68,1.049,21.452,13.896,13.976,14.19,9.854,8733.7,-21.953
NGC7214,22.1521339,-27.8095278,Sc,47.26,1.287,21.936,13.025,13.225,13.861,9.348,7118.6,-22.215
NGC7673,23.4614165,23.5889331,Sc,68.2,1.015,19.834,12.868,13.198,12.788,10.749,3407.2,-21.185
